DATE,RPMD
2000-01-01,34913749
2000-02-01,36005847
2000-03-01,43901516
2000-04-01,41954244
2000-05-01,43168824
2000-06-01,45856363
2000-07-01,47303803
2000-08-01,46457758
2000-09-01,38372644
2000-10-01,41820446
2000-11-01,40712967
2000-12-01,39656140
2001-01-01,37179562
2001-02-01,35784235
2001-03-01,44208143
2001-04-01,42363481
2001-05-01,42517548
2001-06-01,45304289
2001-07-01,48067498
2001-08-01,48579798
2001-09-01,26230752
2001-10-01,33428069
2001-11-01,34035501
2001-12-01,34900093
2002-01-01,32996179
2002-02-01,32587181
2002-03-01,41424662
2002-04-01,38475773
2002-05-01,39908390
2002-06-01,42899467
2002-07-01,45270461
2002-08-01,45415533
2002-09-01,34211925
2002-10-01,39065248
2002-11-01,36348009
2002-12-01,41361303
2003-01-01,36211422
2003-02-01,34148439
2003-03-01,41774564
2003-04-01,39465980
2003-05-01,41001934
2003-06-01,44492972
2003-07-01,48321924
2003-08-01,46982527
2003-09-01,36819820
2003-10-01,41480412
2003-11-01,39333528
2003-12-01,42699596
2004-01-01,38114607
2004-02-01,38575084
2004-03-01,46507739
2004-04-01,45795662
2004-05-01,45350262
2004-06-01,49774219
2004-07-01,52730292
2004-08-01,50816430
2004-09-01,40644161
2004-10-01,45765588
2004-11-01,43561708
2004-12-01,45181080
2005-01-01,41609095
2005-02-01,40114944
2005-03-01,50789921
2005-04-01,47002623
2005-05-01,49016422
2005-06-01,52181786
2005-07-01,55290372
2005-08-01,52510003
2005-09-01,43524915
2005-10-01,45895538
2005-11-01,45109831
2005-12-01,46190194
2006-01-01,42966268
2006-02-01,40927215
2006-03-01,50693391
2006-04-01,48800883
2006-05-01,49302219
2006-06-01,52200272
2006-07-01,54506446
2006-08-01,52074386
2006-09-01,43108587
2006-10-01,47137132
2006-11-01,45966808
2006-12-01,46835639
2007-01-01,43823680
2007-02-01,41270274
2007-03-01,51518429
2007-04-01,49772604
2007-05-01,51031835
2007-06-01,54018698
2007-07-01,56572991
2007-08-01,55682567
2007-09-01,45240435
2007-10-01,49069269
2007-11-01,47256388
2007-12-01,47070645
2008-01-01,44233383
2008-02-01,43429251
2008-03-01,52016986
2008-04-01,48189445
2008-05-01,50259915
2008-06-01,52521313
2008-07-01,54621355
2008-08-01,52643147
2008-09-01,41015590
2008-10-01,44913078
2008-11-01,40578576
2008-12-01,43824845
2009-01-01,39299677
2009-02-01,37640543
2009-03-01,46517762
2009-04-01,45419277
2009-05-01,45980485
2009-06-01,49290282
2009-07-01,52704805
2009-08-01,50467291
2009-09-01,41656740
2009-10-01,44781576
2009-11-01,41573018
2009-12-01,43650676
2010-01-01,40301481
2010-02-01,36997641
2010-03-01,47619593
2010-04-01,45662026
2010-05-01,46953592
2010-06-01,50387612
2010-07-01,53095877
2010-08-01,51439494
2010-09-01,43694606
2010-10-01,47283498
2010-11-01,44351351
2010-12-01,45067193
2011-01-01,41187427
2011-02-01,38285135
2011-03-01,48992222
2011-04-01,46567367
2011-05-01,49026670
2011-06-01,51552209
2011-07-01,54459011
2011-08-01,51570695
2011-09-01,44580293
2011-10-01,46972410
2011-11-01,44780150
2011-12-01,45673434
2012-01-01,41673200
2012-02-01,40440608
2012-03-01,49693743
2012-04-01,47240812
2012-05-01,49075105
2012-06-01,51958870
2012-07-01,54239650
2012-08-01,52870440
2012-09-01,43861218
2012-10-01,46661136
2012-11-01,45148885
2012-12-01,45818788
2013-01-01,42716898
2013-02-01,40360485
2013-03-01,50591941
2013-04-01,47323333
2013-05-01,50124879
2013-06-01,52826890
2013-07-01,54754449
2013-08-01,53123236
2013-09-01,44654218
2013-10-01,47859100
2013-11-01,44420327
2013-12-01,49132874
2014-01-01,43564252
2014-02-01,40543416
2014-03-01,51862090
2014-04-01,49245759
2014-05-01,51524033
2014-06-01,53979800
2014-07-01,56874432
2014-08-01,54640576
2014-09-01,46336551
2014-10-01,50112977
2014-11-01,46352175
2014-12-01,50303173
2015-01-01,45137553
2015-02-01,42248126
2015-03-01,53924946
2015-04-01,51883047
2015-05-01,54255249
2015-06-01,56994808
2015-07-01,60430846
2015-08-01,57819224
2015-09-01,49857958
2015-10-01,54074371
2015-11-01,50913043
2015-12-01,53118963
2016-01-01,48074919
2016-02-01,46460173
2016-03-01,56704006
2016-04-01,53623642
2016-05-01,57131553
2016-06-01,60278335
2016-07-01,62349264
2016-08-01,59282193
2016-09-01,52660648
2016-10-01,55320061
2016-11-01,53280611
2016-12-01,54812269
2017-01-01,50136641
2017-02-01,46484890
2017-03-01,58791439
2017-04-01,56302476
2017-05-01,59016291
2017-06-01,62468978
2017-07-01,65035238
2017-08-01,62520313
2017-09-01,51871588
2017-10-01,58257903
2017-11-01,55883967
2017-12-01,56980320
2018-01-01,51716869
2018-02-01,49452398
2018-03-01,61707206
2018-04-01,59340837
2018-05-01,62580573
2018-06-01,66095834
2018-07-01,69091770
2018-08-01,66132066
2018-09-01,55431382
2018-10-01,61011632
2018-11-01,58779362
2018-12-01,59477976
2019-01-01,54357953
2019-02-01,51406118
2019-03-01,65407751
2019-04-01,61953259
2019-05-01,65811235
2019-06-01,68413224
2019-07-01,71276651
2019-08-01,68148009
2019-09-01,58213796
2019-10-01,63323854.0
2019-11-01,59158779
2019-12-01,65288157
2020-01-01,57629920.0
2020-02-01,55336127.0
2020-03-01,32526486.0
2020-04-01,2551127
2020-05-01,8117835.0
2020-06-01,14007580.0
2020-07-01,20075949.0
2020-08-01,21184556.0
2020-09-01,20474551
2020-10-01,24425708
2020-11-01,23711619
2020-12-01,25075790
2021-01-01,22357665.0
2021-02-01,22477683.0
2021-03-01,36811555.0
2021-04-01,40971447.0
2021-05-01,49649002.0
2021-06-01,57717814.0
